,Riders All Time in All Classes,Victories,2nd places,3rd places,Pole positions from '74 to 2022,Race fastest lap to 2022,World Championships,Victories,Country
0,AGOSTINI Giacomo,122.0,35.0,2.0,9.0,117.0,15.0,122,IT
1,ROSSI Valentino,115.0,67.0,53.0,65.0,96.0,9.0,115,IT
2,NIETO Angel,90.0,35.0,14.0,34.0,81.0,13.0,90,ES
3,MARQUEZ Marc,85.0,36.0,17.0,90.0,75.0,8.0,85,ES
4,HAILWOOD Mike,76.0,25.0,11.0,0.0,79.0,9.0,76,GB
5,LORENZO Jorge,68.0,51.0,33.0,69.0,37.0,5.0,68,ES
6,PEDROSA Dani,54.0,52.0,47.0,49.0,64.0,3.0,54,AU
7,DOOHAN Mick,54.0,31.0,10.0,58.0,46.0,5.0,54,ES
8,READ Phil,52.0,44.0,25.0,5.0,36.0,7.0,52,GB
9,REDMAN Jim,45.0,33.0,20.0,0.0,35.0,6.0,45,AU
10,STONER Casey,45.0,17.0,27.0,43.0,33.0,2.0,45,
11,BIAGGI Max,42.0,41.0,28.0,56.0,42.0,4.0,42,IT
12,MANG Anton,42.0,25.0,17.0,34.0,26.0,5.0,42,DE
13,UBBIALI Carlo,39.0,20.0,9.0,0.0,34.0,9.0,39,IT
14,SURTEES John,38.0,4.0,3.0,0.0,34.0,7.0,38,GB
15,MARTINEZ Jorge,37.0,14.0,10.0,42.0,11.0,4.0,37,ES
16,CADALORA Luca,34.0,22.0,16.0,29.0,30.0,3.0,34,IT
17,DUKE Geoff,33.0,7.0,10.0,0.0,29.0,6.0,33,GB
18,LAWSON Eddie,31.0,31.0,16.0,18.0,21.0,4.0,31,US
19,BALLINGTON Kork,31.0,9.0,6.0,19.0,16.0,4.0,31,ZA
20,TAVERI Luigi,30.0,33.0,26.0,0.0,28.0,3.0,30,CH
21,CAPIROSSI Loris,29.0,34.0,36.0,41.0,32.0,3.0,29,IT
22,LAZZARINI Eugenio,27.0,35.0,19.0,35.0,15.0,3.0,27,IT
23,BIANCHI Pierpaolo,27.0,17.0,17.0,32.0,25.0,3.0,27,US
24,SPENCER Freddie,27.0,10.0,2.0,33.0,24.0,3.0,27,IT
25,VIÑALES Maverick,25.0,23.0,20.0,24.0,22.0,1.0,25,NZ
26,SCHWANTZ Kevin,25.0,13.0,13.0,29.0,26.0,1.0,25,ES
27,ANDERSON Hugh,25.0,12.0,11.0,0.0,25.0,4.0,25,US
28,DOVIZIOSO Andrea,24.0,39.0,40.0,20.0,22.0,1.0,24,IT
29,RAINEY Wayne,24.0,22.0,19.0,16.0,23.0,3.0,24,US
30,ROBERTS Kenny,24.0,14.0,6.0,22.0,27.0,3.0,24,US
31,VILLA Walter,24.0,6.0,6.0,21.0,20.0,4.0,24,IT
32,SHEENE Barry,23.0,13.0,16.0,19.0,20.0,2.0,23,GB
33,MELANDRI Marco,22.0,20.0,20.0,9.0,16.0,1.0,22,IT
34,GRESINI Fausto,21.0,15.0,11.0,17.0,13.0,2.0,21,GB
35,IVY Bill,21.0,15.0,6.0,0.0,29.0,1.0,21,IT
36,CRIVILLE Alex,20.0,21.0,25.0,12.0,20.0,2.0,20,DE
37,WALDMANN Ralf,20.0,15.0,15.0,10.0,16.0,0.0,20,IT
38,PROVINI Tarquinio,20.0,10.0,9.0,0.0,26.0,2.0,20,ES
39,LAVADO Carlos,19.0,15.0,8.0,22.0,13.0,2.0,19,
40,HOCKING Gary,19.0,12.0,2.0,0.0,21.0,2.0,19,ES
41,TORMO Ricardo,19.0,11.0,6.0,23.0,4.0,2.0,19,VE
42,DÖRFLINGER Stefan,18.0,27.0,13.0,34.0,0.0,4.0,18,SE
43,GARDNER Wayne,18.0,20.0,14.0,19.0,19.0,1.0,18,CH
44,ANDERSSON Kent,18.0,15.0,20.0,4.0,9.0,2.0,18,AU
45,HARADA Tetsuya,17.0,26.0,12.0,21.0,21.0,1.0,17,ES
46,LUTHI Thomas,17.0,23.0,25.0,12.0,19.0,1.0,17,ZA
47,ELIAS Toni,17.0,13.0,13.0,12.0,12.0,1.0,17,JP
48,BINDER Brad,17.0,13.0,8.0,7.0,12.0,1.0,17,CH
49,KATO Daijiro,17.0,5.0,5.0,11.0,11.0,1.0,17,JP
50,KALLIO Mika,16.0,24.0,9.0,18.0,12.0,0.0,16,ES
51,ZARCO Johann,16.0,22.0,16.0,26.0,19.0,2.0,16,PT
52,TEROL Nicolas,16.0,17.0,6.0,9.0,8.0,1.0,16,FI
53,BAUTISTA Alvaro,16.0,15.0,18.0,18.0,22.0,1.0,16,ES
54,OLIVEIRA Miguel,16.0,13.0,11.0,5.0,12.0,0.0,16,FR
55,RINS Alex,15.0,23.0,17.0,17.0,17.0,0.0,15,ES
56,PONS Sito,15.0,16.0,10.0,4.0,12.0,2.0,15,ES
57,ESPARGARO Pol,15.0,15.0,22.0,20.0,16.0,1.0,15,DE
58,DEGNER Ernst,15.0,11.0,12.0,0.0,13.0,1.0,15,FI
59,SAARINEN Jarno,15.0,7.0,10.0,0.0,18.0,1.0,15,ES
60,BRAUN Dieter,14.0,17.0,18.0,0.0,10.0,2.0,14,IT
61,ANSCHEIDT Hans-Georg,14.0,13.0,7.0,0.0,12.0,3.0,14,NL
62,CECOTTO Johnny,14.0,10.0,2.0,22.0,7.0,1.0,14,VE
63,DE VRIES Jan,14.0,9.0,4.0,0.0,13.0,2.0,14,DE
64,BAGNAIA Francesco,14.0,8.0,11.0,13.0,11.0,1.0,14,DE
65,SIMONCELLI Marco,14.0,6.0,11.0,15.0,9.0,1.0,14,IT
66,RAUDIES Dirk,14.0,6.0,3.0,8.0,9.0,1.0,14,DE
67,MAMOLA Randy,13.0,25.0,19.0,5.0,12.0,0.0,13,US
68,UEDA Noboru,13.0,12.0,14.0,19.0,11.0,0.0,13,US
69,KOCINSKI John,13.0,12.0,10.0,20.0,15.0,1.0,13,ES
70,FENATI Romano,13.0,11.0,5.0,7.0,15.0,0.0,13,IT
71,RABAT Tito,13.0,10.0,13.0,16.0,11.0,1.0,13,JP
72,IANNONE Andrea,13.0,8.0,14.0,10.0,17.0,0.0,13,IT
73,MARQUEZ Alex,12.0,16.0,12.0,15.0,17.0,2.0,12,ES
74,POGGIALI Manuel,12.0,10.0,13.0,11.0,7.0,2.0,12,IT
75,MIR Joan,12.0,10.0,11.0,2.0,7.0,2.0,12,GB
76,PASINI Mattia,12.0,8.0,10.0,19.0,6.0,0.0,12,ES
77,ANDERSON Fergus,12.0,5.0,7.0,0.0,12.0,2.0,12,SM
78,SAKATA Kazuto,11.0,23.0,7.0,29.0,19.0,2.0,11,JP
79,KATAYAMA Takazumi,11.0,11.0,13.0,5.0,6.0,1.0,11,ES
80,MARTIN Jorge,11.0,10.0,12.0,27.0,8.0,1.0,11,JP
81,HAAS Werner,11.0,7.0,0.0,1.0,11.0,3.0,11,JP
82,MORBIDELLI Franco,11.0,6.0,10.0,8.0,14.0,1.0,11,IT
83,SIMMONDS Dave,11.0,6.0,5.0,0.0,7.0,1.0,11,GB
84,UI Youichi,11.0,6.0,5.0,17.0,9.0,0.0,11,DE
85,GOULD Rodney,10.0,16.0,8.0,0.0,8.0,1.0,10,FR
86,BRYANS Ralph,10.0,15.0,15.0,0.0,7.0,1.0,10,ES
87,HANSFORD Greg,10.0,14.0,1.0,11.0,5.0,0.0,10,ES
88,QUARTARARO Fabio,10.0,11.0,5.0,19.0,12.0,1.0,10,JP
89,BARBERA Hector,10.0,9.0,13.0,9.0,10.0,0.0,10,AU
90,AZUMA Masao,10.0,4.0,6.0,2.0,12.0,0.0,10,GB
91,FERNANDEZ Raul,10.0,3.0,3.0,13.0,8.0,0.0,10,IE
92,GIBERNAU Sete,9.0,14.0,7.0,13.0,8.0,0.0,9,ES
93,GIANOLA Ezio,9.0,13.0,8.0,12.0,10.0,0.0,9,GB
94,SALOM Luis,9.0,10.0,6.0,4.0,7.0,0.0,9,JP
95,AOYAMA Hiroshi,9.0,8.0,10.0,8.0,11.0,1.0,9,HU
96,TALMACSI Gabor,9.0,8.0,9.0,11.0,9.0,1.0,9,IT
97,LOCATELLI Roberto,9.0,7.0,9.0,18.0,10.0,1.0,9,ES
98,AOKI Haruchika,9.0,6.0,5.0,6.0,5.0,2.0,9,AU
99,LOWES Sam,9.0,5.0,10.0,17.0,9.0,0.0,9,IT
100,SPAAN Hans,9.0,5.0,7.0,9.0,5.0,0.0,9,JP
101,MILLER Jack,9.0,4.0,13.0,9.0,3.0,0.0,9,GB
102,LOMAS Bill,9.0,3.0,4.0,0.0,14.0,2.0,9,NL
103,REGGIANI Loris,8.0,14.0,19.0,5.0,8.0,0.0,8,IT
104,BASTIANINI Enea,8.0,11.0,17.0,9.0,8.0,1.0,8,FI
105,SIMON Julian,8.0,11.0,7.0,10.0,12.0,1.0,8,ES
106,LANSIVUORI Teuvo,8.0,10.0,9.0,12.0,12.0,0.0,8,IT
107,FAUBEL Hector,8.0,7.0,11.0,3.0,9.0,0.0,8,GB
108,MORTIMER Chas,7.0,17.0,15.0,3.0,5.0,0.0,8,GB
109,JACQUE Olivier,7.0,15.0,13.0,17.0,9.0,1.0,8,US
110,SARRON Christian,7.0,13.0,17.0,11.0,10.0,1.0,8,IT
111,BARROS Alex,7.0,11.0,14.0,5.0,14.0,0.0,8,ES
112,CORTESE Sandro,7.0,10.0,12.0,10.0,11.0,1.0,7,FR
113,ARMSTRONG Reg,7.0,9.0,13.0,0.0,2.0,0.0,7,IT
114,VAN KESSEL Henk,7.0,9.0,9.0,4.0,0.0,1.0,7,IT
115,CARRUTHERS Kel,7.0,9.0,6.0,0.0,8.0,1.0,7,IT
116,BRADL Stefan,7.0,8.0,4.0,8.0,5.0,1.0,7,BR
117,VINCENT Arnaud,7.0,8.0,4.0,4.0,1.0,1.0,7,NL
118,LORENZETTI Enrico,7.0,7.0,7.0,0.0,6.0,1.0,7,IT
119,PORTO Sebastian,7.0,7.0,5.0,11.0,8.0,0.0,7,AU
120,CECCHINELLO Lucio,7.0,7.0,5.0,4.0,10.0,0.0,7,GB
121,EKEROLD Jonnie,7.0,6.0,6.0,2.0,0.0,1.0,7,DE
